Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Clear Filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total USD Equivs,,,,"85,603",,"85,603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDJPY - 81.064,,,AUDJPY,"9,011",,"9,011",,,,,,,,,"8,563",,,"8,563","8,723",,,"694,123","707,129",,,,,,,,,,,,,,,
Double OT,,14912,AUDJPY,1,0,1,Double OT,,,,83.932,80.333,0,JPY,1,,0,1,1,99.97,0,100,100,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,81.064,12.74,4.586,0.193,OPSK9S1K,0
Double OT,,14909,AUDJPY,1,0,1,Double OT,,,,86.475,76.433,0,JPY,1,,0,1,1,58.37,0,58,67,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,81.064,12.74,4.586,0.193,OPSK9S14,0
Double OT,,14116,AUDJPY,1,0,1,Double OT,,,,82.004,80.966,0,JPY,1,,0,1,1,100,0,100,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,81.064,11.23,4.576,0.139,OPSK9R9N,0
Double OT,,14211,AUDJPY,105,0,105,Double OT,,,,82.64,80.982,0,AUD,100,99.99,0,100,100,,0,"8,106","8,106",01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,81.064,11.53,4.56,0.148,OPSK9QY8,0
Double OT,,14908,AUDJPY,1,0,1,Double OT,,,,86.475,79.554,0,JPY,1,,0,1,1,91.5,0,92,96,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,81.064,12.74,4.586,0.193,OPSK9S0Z,0
Double OT,,14608,AUDJPY,99,0,99,Double OT,,,,85.11,79.877,0,AUD,94,94.1,0,94,96,,0,"7,628","7,761",01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/23/2012,GMT 15:00,03/23/2012,Vanna Volga,81.064,12.17,4.526,0.157,OPSK9R8M,0
Double OT,,14308,AUDJPY,1,0,1,Double OT,,,,84.117,80.121,0,JPY,1,,0,1,1,94.62,0,95,97,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,81.064,11.53,4.56,0.148,OPSK9RCS,0
