no,asset,start_date,end_date,duration,bet_type,spot,end_spot,payout,spot_unchanged,bom_win,nto_buy_price,nto_payout_rate,nto_actual_payout,nto_return,nto_client_profit
26211,frxUSDJPY,2013-01-07 13:20:00,2013-01-07 13:25:00,5,FLASHD,87.812,87.896,190,0,0,100,190%,0,90%,-100
26250,frxUSDJPY,2013-01-07 13:25:00,2013-01-07 13:30:00,5,FLASHU,87.896,87.907,190,0,1,100,190%,190,90%,90
26266,frxUSDJPY,2013-01-07 13:30:00,2013-01-07 13:35:00,5,FLASHU,87.907,87.885,190,0,0,100,190%,0,90%,-100
26284,frxUSDJPY,2013-01-07 13:35:00,2013-01-07 13:40:00,5,FLASHU,87.885,87.864,190,0,0,100,190%,0,90%,-100
26303,frxUSDJPY,2013-01-07 13:40:00,2013-01-07 13:45:00,5,FLASHU,87.864,87.823,190,0,0,100,190%,0,90%,-100
26318,frxUSDJPY,2013-01-07 13:45:00,2013-01-07 13:50:00,5,FLASHD,87.823,87.833,190,0,0,100,190%,0,90%,-100
26345,frxUSDJPY,2013-01-07 13:50:00,2013-01-07 13:55:00,5,FLASHU,87.833,87.807,190,0,0,100,190%,0,90%,-100
26375,frxUSDJPY,2013-01-07 13:55:00,2013-01-07 14:00:00,5,FLASHD,87.807,87.833,190,0,0,100,190%,0,90%,-100
26418,frxUSDJPY,2013-01-07 14:05:00,2013-01-07 14:10:00,5,FLASHD,87.82,87.858,190,0,0,100,190%,0,90%,-100
26467,frxUSDJPY,2013-01-07 14:15:00,2013-01-07 14:20:00,5,FLASHU,87.869,87.896,190,0,1,100,190%,190,90%,90
26491,frxUSDJPY,2013-01-07 14:20:00,2013-01-07 14:25:00,5,FLASHU,87.896,87.887,190,0,0,100,190%,0,90%,-100
26510,frxUSDJPY,2013-01-07 14:25:00,2013-01-07 14:30:00,5,FLASHU,87.887,87.86,190,0,0,100,190%,0,90%,-100
26536,frxUSDJPY,2013-01-07 14:30:00,2013-01-07 14:35:00,5,FLASHU,87.86,87.825,190,0,0,100,190%,0,90%,-100
26570,frxUSDJPY,2013-01-07 14:35:00,2013-01-07 14:40:00,5,FLASHD,87.825,87.835,190,0,0,100,190%,0,90%,-100
26601,frxUSDJPY,2013-01-07 14:40:00,2013-01-07 14:45:00,5,FLASHD,87.835,87.853,190,0,0,100,190%,0,90%,-100
26627,frxUSDJPY,2013-01-07 14:45:00,2013-01-07 14:50:00,5,FLASHU,87.853,87.855,190,0,1,100,190%,190,90%,90
26644,frxUSDJPY,2013-01-07 14:50:00,2013-01-07 14:55:00,5,FLASHU,87.855,87.81,190,0,0,100,190%,0,90%,-100
26679,frxUSDJPY,2013-01-07 14:55:00,2013-01-07 15:00:00,5,FLASHD,87.81,87.773,190,0,1,100,190%,190,90%,90
26725,frxUSDJPY,2013-01-07 15:15:00,2013-01-07 15:20:00,5,FLASHU,87.834,87.836,190,0,1,100,190%,190,90%,90
26751,frxUSDJPY,2013-01-07 15:20:00,2013-01-07 15:25:00,5,FLASHU,87.836,87.835,190,0,0,100,190%,0,90%,-100
26763,frxUSDJPY,2013-01-07 15:25:00,2013-01-07 15:30:00,5,FLASHD,87.835,87.836,190,0,0,100,190%,0,90%,-100
26782,frxUSDJPY,2013-01-07 15:30:00,2013-01-07 15:35:00,5,FLASHU,87.836,87.852,190,0,1,100,190%,190,90%,90
26805,frxUSDJPY,2013-01-07 15:35:00,2013-01-07 15:40:00,5,FLASHU,87.852,87.823,190,0,0,100,190%,0,90%,-100
26836,frxUSDJPY,2013-01-07 15:40:00,2013-01-07 15:45:00,5,FLASHD,87.823,87.84,190,0,0,100,190%,0,90%,-100
26862,frxUSDJPY,2013-01-07 15:45:00,2013-01-07 15:50:00,5,FLASHU,87.84,87.862,190,0,1,100,190%,190,90%,90
26888,frxUSDJPY,2013-01-07 15:50:00,2013-01-07 15:55:00,5,FLASHU,87.862,87.772,190,0,0,100,190%,0,90%,-100
