NOTE,Note: Vol surface is 10am NY cut,,,,,,,,,,,,,,,,,,,,,,,
NOTE,Note: Does not take local currency holidays into account,,,,,,,,,,,,,,,,,,,,,,,
NOTE,Note: bet prices in % of Base Currency,,,,,,,,,,,,,,,,,,,,,,,
NOTE,Results in % of Base Currency,,,,,,,,,,,,,,,,,,,,,,,
CURRENCIES,GBP,JPY, , , ,, ,,,,,,,,,,,,,,,,,
DATE,01-Dec-11, ,, , ,, ,,,,,,,,,,,,,,,,,
TIME,09:00:00 GMT,,,,,,,,,,,,,,,,,,,,,,,
SPOT,121.64, , , , ,, ,,,,,,,, , , , ,,,,,,
START RATES,, , , , ,, ,, , , , , , , , , , ,,,,,,
Col_names,1 Day,1 Week,2 Weeks,3 Weeks,1 Month,2 Months,3 Months,6 Months,9 Months,1 Year,18 Months,2 Years,3 Years,4 Years,5 Years,7 Years,10 Years,,,,,,,
Forward Points,-0.00275,-0.01925,-0.0452545,-0.094112,-0.1365,-0.0705,-0.3285,-0.6665,-1.09197,-1.58,-2.99571,-4.8225,-8.065,-7.90049,-10.47435,-15.232,-20.587,,,,,,,
Depo Base,0.66,0.655,0.655,0.656,0.656,0.711,0.821,1.142,1.212,1.431,1.36,1.288,1.071,1.118,1.303,1.665,2.15,,,,,,,
Depo Term,-0.163,-0.168,-0.31,-0.514,-0.656,0.37,-0.261,0.048,0.009,0.115,-0.306,-0.728,-1.195,-0.554,-0.496,-0.255,0.271,,,,,,,
END RATES,,,,,,,,,,,,,,,,,,,,,,,,
START VOL, , , , , , , , , , , , , , , , , ,,,,,,,
Col_names,1 Day,1 Week,2 Weeks,3 Weeks,1 Month,2 Months,3 Months,6 Months,9 Months,1 Year,18 Months,2 Years,3 Years,4 Years,5 Years,7 Years,10 Years,,,,,,,
Volatility,13.481,12.45,12.799,12.914,12.625,13.8,14.3,15,15.7,15.9,16.401,16.65,17.175,17.55,18.275,18.41,18.511,,,,,,,
Volatility Spread,3.968,1.5,1.298,1.096,0.75,0.7,0.8,0.7,0.7,0.7,0.949,1.2,1.35,1.5,1.65,1.454,1.327,,,,,,,
25 Delta Risk Reversal,-0.008,-0.4,-0.858,-1.315,-2.1,-3,-3.9,-4.85,-4.9,-5.3,-4.826,-4.35,-4.6,-5.18,-5.1,-5.5,-5.7,,,,,,,
25 Delta Butterfly,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45,0.5,0.4,0.3,0.1,-0.38,-0.48,,,,,,,
END VOL,,,,,,,,,,,,,,,,,,,,,,,,
START PRICES,,,,,,,,,,,,,,,,,,,,,,,,
Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117,,,1,02-Dec-11,02-Dec-11,0.965,0.00002,-0.00012,0,-0.00007,0,0,0,0.93,1,GBPJPY_1,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.1,,,1,02-Dec-11,02-Dec-11,0.96375,0.00003,-0.00023,0,-0.00007,0,0,0,0.9275,1,GBPJPY_2,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.2,,,1,02-Dec-11,02-Dec-11,0.96125,0.00006,-0.00042,0,-0.00007,0,0,0,0.9225,1,GBPJPY_3,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.3,,,1,02-Dec-11,02-Dec-11,0.96,0.00011,-0.00078,0,-0.00007,0,0,0,0.92,1,GBPJPY_4,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.4,,,1,02-Dec-11,02-Dec-11,0.95875,0.0002,-0.0014,0,-0.00007,0,0,0,0.9175,1,GBPJPY_5,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.5,,,1,02-Dec-11,02-Dec-11,0.9575,0.00036,-0.00248,0,-0.00007,0,0,0,0.915,1,GBPJPY_6,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.6,,,1,02-Dec-11,02-Dec-11,0.9575,0.00064,-0.00433,0,-0.00007,0,0,0,0.915,1,GBPJPY_7,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.7,,,1,02-Dec-11,02-Dec-11,0.95625,0.00113,-0.00744,0,-0.00007,0,0,0,0.9125,1,GBPJPY_8,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.8,,,1,02-Dec-11,02-Dec-11,0.95625,0.00197,-0.01259,0,-0.00007,0,0,0,0.9125,1,GBPJPY_9,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,117.9,,,1,02-Dec-11,02-Dec-11,0.955,0.00336,-0.02099,-0.00001,-0.00007,0,0,0,0.91,1,GBPJPY_10,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118,,,1,02-Dec-11,02-Dec-11,0.95625,0.00568,-0.03444,-0.00001,-0.00006,0,0,0,0.9125,1,GBPJPY_11,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,118.1,,,1,02-Dec-11,02-Dec-11,0.96,0.00943,-0.05562,-0.00002,-0.00006,0,0,0,0.92,1,GBPJPY_12,0
