NOTE,Results in % of Base Currency,,,,,,,,,,,,,,,,,,,,,,,
CURRENCIES,USD,CHF, , , ,, ,,,,,,,,,,,,,,,,,
DATE,02-Dec-11,, , , ,, ,,,,,,,,,,,,,,,,,
TIME,01:36:00 GMT,,,,,,,,,,,,,,,,,,,,,,,
SPOT,0.91565, , , , ,, ,,,,,,,, , , , ,,,,,,
START RATES,40879, , , , ,, ,, , , , , , , , , , ,,,,,,
Col_names,1 Day,1 Week,2 Weeks,3 Weeks,1 Month,2 Months,3 Months,6 Months,9 Months,1 Year,18 Months,2 Years,3 Years,4 Years,5 Years,7 Years,10 Years,,,,,,,
Forward Points,-0.000009,-0.000095,-0.00021132,-0.00037034,-0.0005825,-0.0012425,-0.001565,-0.003225,-0.00539243,-0.0078925,-0.0139829,-0.02152,-0.035195,-0.0506575,-0.06735,-0.0987,-0.14375,,,,,,,
Depo Base,0.305,0.375,0.353,0.328,0.3,0.45,0.445,0.7,1.125,0.865,0.856,0.847,0.828,1.079,1.359,1.85,2.312,,,,,,,
Depo Term,-0.049,-0.159,-0.24,-0.334,-0.439,-0.339,-0.232,0.005,0.347,0.01,-0.159,-0.328,-0.459,-0.328,-0.156,0.227,0.605,,,,,,,
END RATES,,,,,,,,,,,,,,,,,,,,,,,,
START VOL, , , , , , , , , , , , , , , , , ,,,,,,,
Col_names,1 Day,1 Week,2 Weeks,3 Weeks,1 Month,2 Months,3 Months,6 Months,9 Months,1 Year,18 Months,2 Years,3 Years,4 Years,5 Years,7 Years,10 Years,,,,,,,
Volatility,14.856,15.8,15.85,15.867,15.55,16.2,16.325,16.3,16.3,16.325,15.96,15.775,15.4,14.875,14.275,14.105,13.64,,,,,,,
Volatility Spread,1.222,0.8,0.692,0.585,0.4,0.3,0.35,0.3,0.3,0.25,0.3,0.35,0.4,0.45,0.45,0.63,0.7,,,,,,,
25 Delta Risk Reversal,1.338,1.4,1.508,1.615,1.8,1.75,1.7,1.45,1.2,1.05,0.776,0.5,0.45,0.35,0.3,0.2,0.05,,,,,,,
25 Delta Butterfly,0.235,0.25,0.277,0.304,0.35,0.4,0.5,0.55,0.58,0.6,0.575,0.55,0.5,0.45,0.4,0.36,0.3,,,,,,,
END VOL,,,,,,,,,,,,,,,,,,,,,,,,
START PRICES,,,,,,,,,,,,,,,,,,,,,,,,
Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.87,,,1,03-Dec-11,03-Dec-11,0.99875,0,0,0,-0.00003,0,0,0,0.9975,1,USDCHF_1,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.874,,,1,03-Dec-11,03-Dec-11,0.99855,0,0,0,-0.00004,0,0,0,0.9971,1,USDCHF_2,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.878,,,1,03-Dec-11,03-Dec-11,0.9977,0,-0.00003,0,-0.00006,0,0,0,0.9954,1,USDCHF_3,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.882,,,1,03-Dec-11,03-Dec-11,0.995,0.00012,-0.00084,0,-0.00018,0,0,0,0.99,1,USDCHF_4,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.886,,,1,03-Dec-11,03-Dec-11,0.98625,0.00233,-0.01427,-0.00001,-0.00076,0,0,0,0.9725,1,USDCHF_5,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.89,,,1,03-Dec-11,03-Dec-11,0.96995,0.03054,-0.16116,-0.00006,-0.00299,0,0,0,0.94,0.9999,USDCHF_6,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.894,,,1,03-Dec-11,03-Dec-11,0.95725,0.27114,-1.2042,-0.00046,-0.00984,0,0,0,0.915,0.9995,USDCHF_7,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.898,,,1,03-Dec-11,03-Dec-11,0.9568,1.642,-5.9234,-0.00227,-0.02606,0,0,0,0.9175,0.9961,USDCHF_8,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.902,,,1,03-Dec-11,03-Dec-11,0.9275,6.8153,-18.93,-0.00725,-0.05328,0,0,0,0.875,0.98,USDCHF_9,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.906,,,1,03-Dec-11,03-Dec-11,0.8925,19.48,-38.01,-0.01456,-0.07935,0,0,0,0.8175,0.9675,USDCHF_10,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.91,,,1,03-Dec-11,03-Dec-11,0.80375,38.56,-43.48,-0.01665,-0.07666,0,0,0,0.705,0.9025,USDCHF_11,0
02-Dec-11,USDCHF,USD,CHF,ED,C,0.91565,0.914,,,1,03-Dec-11,03-Dec-11,0.57625,53.06,-16.37,-0.00627,-0.02906,0,0,0,0.465,0.6875,USDCHF_12,0
