NOTE,Note: Vol surface is 10am NY cut,,,,,,,,,,,,,,,,,,,,,
NOTE,Note: Greeks displayed in Premium  CCY,,,,,,,,,,,,,,,,,,,,,
NOTE,Note: Does not take local currency holidays into account,,,,,,,,,,,,,,,,,,,,,
NOTE,Note: bet prices in % of Base Currency,,,,,,,,,,,,,,,,,,,,,
CURRENCIES,EUR,USD, , ,,,,,,,,,,,,,,,,,,
DATE,17-Nov-11,, , , ,, ,,,,,,,,,,,,,,,
TIME,03:00:00 GMT,,,,,,,,,,,,,,,,,,,,,
SPOT,1.3468, ,, , ,, ,,,,,,,, , , , ,,,,
START RATES,,, , , ,, ,, , , , , , , , , , ,,,,
Col_names,1 Day,1 Week,2 Weeks,3 Weeks,1 Month,2 Months,3 Months,6 Months,9 Months,1 Year,18 Months,2 Years,3 Years,4 Years,5 Years,7 Years,10 Years,,,,,
Forward Points,-0.0000069,-0.000055,-0.00019,-0.00013094,-0.000055,0.0005125,0.00091,0.001925,0.003205,0.0044675,0.00584185,0.007,0.006,0.00456,0.007515,0.01045,0.02025,,,,,
Depo Base,0.489,0.56,0.698,0.486,0.349,0.232,0.44,0.417,0.81,0.851,0.812,0.773,0.718,0.984,1.208,1.678,2.098,,,,,
Depo Term,0.305,0.35,0.335,0.32,0.3,0.45,0.705,0.7,1.125,1.18,1.1,1.018,0.857,1.068,1.319,1.789,2.248,,,,,
END RATES,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,
START VOL,,,,,,,,,,,,,,,,,,,,,,
Col_names, 1 Day , 1 Week , 2 Weeks , 3 Weeks , 1 Month , 2 Months , 3 Months , 6 Months , 9 Months , 1 Year , 18 Months , 2 Years , 3 Years , 4 Years , 5 Years , 7 Years , 10 Years ,,,,,
Volatility,17.926,16.275,16.102,16.044,15.875,15.7,15.875,15.8,15.797,15.8,15.514,15.35,14.85,14.35,14,13.55,13.18,,,,,
Volatility Spread,1.984,0.75,0.61,0.47,0.25,0.2,0.25,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1,,,,,
25 Delta Risk Reversal,-1.382,-1.85,-2.396,-2.942,-3.8,-4.15,-4.25,-4.35,-4.4,-4.45,-4.229,-4,-3.5,-3,-2.5,-2.4,-1.25,,,,,
25 Delta Butterfly,0.231,0.25,0.272,0.295,0.33,0.37,0.42,0.51,0.56,0.6,0.571,0.54,0.53,0.49,0.45,0.38,0.37,,,,,
END VOL,,,,,,,,,,,,,,,,,,,,,,
START PRICES,,,,,,,,,,,,,,,,,,,,,,
Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Price Bid,Price Offer,ID,mini
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,1,18-Nov-11,18-Nov-11,0.0151,-0.06875,0.27585,0.00014,-0.00016,0,0.0002,0.03,EURUSD_1,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,2,19-Nov-11,19-Nov-11,0.03035,-0.2547,0.81733,0.00063,-0.00073,0,0.0007,0.06,EURUSD_2,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,3,20-Nov-11,20-Nov-11,0.04625,-1.6203,3.2967,0.00394,-0.00612,0,0.0075,0.085,EURUSD_3,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,4,21-Nov-11,21-Nov-11,0.06,-4.4476,5.9968,0.01015,-0.01686,0,0.0175,0.1025,EURUSD_4,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,5,22-Nov-11,22-Nov-11,0.07,-7.0365,7.0896,0.01551,-0.0237,0.00016,0.025,0.115,EURUSD_5,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,6,23-Nov-11,23-Nov-11,0.0975,-9.0236,7.2549,0.01946,-0.02645,0.0004,0.0525,0.1425,EURUSD_6,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,7,24-Nov-11,24-Nov-11,0.12125,-10.22,7.0703,0.02207,-0.0261,0.00066,0.0775,0.165,EURUSD_7,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,8,25-Nov-11,25-Nov-11,0.1475,-11.26,6.7043,0.02411,-0.02539,0.00094,0.105,0.19,EURUSD_8,1
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,9,26-Nov-11,26-Nov-11,0.155,-11.47,6.6007,0.02561,-0.02299,0.00119,0.115,0.195,EURUSD_9,0
17-Nov-11,EURUSD,EUR,USD,OT,,1.3468,,1.3,,10,27-Nov-11,27-Nov-11,0.175,-11.99,6.2916,0.02694,-0.02168,0.00147,0.1375,0.2125,EURUSD_10,0
