NOTE,Results in % of Base Currency,,,,,,,,,,,,,,,,,,,,,,,
CURRENCIES,GBP,AUD, , , ,, ,,,,,,,,,,,,,,,,,
DATE,03-Dec-11,, , , ,, ,,,,,,,,,,,,,,,,,
TIME,02:00:00 GMT,,,,,,,,,,,,,,,,,,,,,,,
SPOT,1.5268, , , , ,, ,,,,,,,, , , , ,,,,,,
START RATES,40880, , , , ,, ,, , , , , , , , , , ,,,,,,
Col_names,1 Day,1 Week,2 Weeks,3 Weeks,1 Month,2 Months,3 Months,6 Months,9 Months,1 Year,18 Months,2 Years,3 Years,4 Years,5 Years,7 Years,10 Years,,,,,,,
Forward Points,0.00017243,0.00115586,0.00225458,0.00361033,0.00507307,0.0101001,0.0144533,0.0256248,0.0357276,0.0459004,0.0685502,0.0911872,0.1444753,0.2012047,0.2555665,0.360999,0.479226,,,,,,,
Depo Base,0.637,0.681,0.783,0.899,1.014,1.064,1.152,1.26,1.479,1.635,1.525,1.415,1.098,1.182,1.326,1.704,2.184,,,,,,,
Depo Term,4.759,4.136,4.377,4.653,4.93,4.965,4.96,4.629,4.619,4.682,4.539,4.395,4.183,4.358,4.507,4.832,5.01,,,,,,,
END RATES,,,,,,,,,,,,,,,,,,,,,,,,
START VOL, , , , , , , , , , , , , , , , , ,,,,,,,
Col_names,1 Day,1 Week,2 Weeks,3 Weeks,1 Month,2 Months,3 Months,6 Months,9 Months,1 Year,18 Months,2 Years,3 Years,4 Years,5 Years,7 Years,10 Years,,,,,,,
Volatility,13.666,12.758,12.229,11.933,11.768,12.288,12.676,13.114,13.584,13.882,13.862,13.854,13.827,13.827,13.776,13.772,13.768,,,,,,,
Volatility Spread,2.121,1,0.787,0.574,0.3,0.3,0.3,0.3,0.35,0.35,0.425,0.5,0.65,0.75,0.85,0.746,0.678,,,,,,,
25 Delta Risk Reversal,1.409,1.5,1.591,1.683,1.8,2.1,2.3,2.55,3,2.65,2.899,3.15,3.25,3.35,3.45,2.708,1.6,,,,,,,
25 Delta Butterfly,0.287,0.29,0.293,0.296,0.3,0.36,0.41,0.49,0.531,0.57,0.58,0.59,0.61,0.62,0.63,0.62,0.63,,,,,,,
END VOL,,,,,,,,,,,,,,,,,,,,,,,,
START PRICES,,,,,,,,,,,,,,,,,,,,,,,,
Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
03-Dec-11,GBPAUD,GBP,AUD,ED,C,1.5268,1.47,,,16,19-Dec-11,19-Dec-11,0.94375,4.7734,-2.8196,-0.01512,0.01132,-0.00202,0,0,0.9175,0.97,GBPAUD_1,0
03-Dec-11,GBPAUD,GBP,AUD,ED,C,1.5268,1.475,,,16,19-Dec-11,19-Dec-11,0.93125,5.8022,-3.1268,-0.01676,0.01268,-0.00238,0,0,0.905,0.9575,GBPAUD_2,0
03-Dec-11,GBPAUD,GBP,AUD,ED,C,1.5268,1.48,,,16,19-Dec-11,19-Dec-11,0.91,6.9258,-3.3748,-0.01809,0.0138,-0.00277,0,0,0.8825,0.9375,GBPAUD_3,0
