DATE,26-Nov-13,,,,,,,,,,,,,,,,,,,,,
TIME,02:28 GMT,,,,,,,,,,,,,,,,,,,,,
FILE,SD_SX5E2,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,SX5E,,,,,,,,,,,,,,,,,,,,,
SPOT,3072.75,,,,,,,,,,,,,,,,,,,,,
CURRENCY,USD,,,,,,,,,,,,,,,,,,,,,
SABR PARAMETERS,,,,,5-Nov,21-Nov,-21,-5,,,,,,,,,,,,,,
atmvolshort,0.1165,,,,17-Nov,14-Jan,-9,49,,,,,,,,,,,,,,
atmvol1year,0.17787,,,,17-Jan,13-Feb,52,79,,,,,,,,,,,,,,
atmvolLong,0.20767,,,,14-Feb,15-Apr,80,140,,,,,,,,,,,,,,
atmWingL,0.5507,,,,21-Apr,24-Jun,146,210,,,,,,,,,,,,,,
atmWingR,3.27631,,,,25-Jun,25-Jul,211,241,,,,,,,,,,,,,,
skewshort,-0.02096,,,,5-May,8-Jul,160,224,,,,,,,,,,,,,,
skew1year,-0.18829,,,,,,,,,,,,,,,,,,,,,
skewlong,-0.19126,,,,,,,,,,,,,,,,,,,,,
skewwingL,19.97639,,,,,,,,,,,,,,,,,,,,,
skewwingR,3.01558,,,,,,,,,,,,,,,,,,,,,
kurtosisshort,0.35972,,,,,,,,,,,,,,,,,,,,,
kurtosislong,0.3383,,,,,,,,,,,,,,,,,,,,,
kurtosisgrowth,4.85351,,,,,,,,,,,,,,,,,,,,,
END SABR PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
VOL SURFACE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
Term,Strike,2458.2,2519.655,2581.11,2642.565,2704.02,2765.475,2826.93,2888.385,2949.84,3011.295,3072.75,3134.205,3195.66,3257.115,3318.57,3380.025,3441.48,3502.935,3564.39,3625.845,3687.3
